update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
2000,0,600345,0.000000,"[0.000000]",1,6411,339.450000,344.450000,"[344.450000]",10.000000,"[10.000000]",339.450000,"[339.450000]",2000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",172.000000,"[172]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2100,0,630325,0.000000,"[0.000000]",1,7677,3.730000,8.730000,"[8.730000]",10.000000,"[10.000000]",3.730000,"[3.730000]",2100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2200,0,660317,0.000000,"[0.000000]",1,6987,311.496000,316.496000,"[316.496000]",10.000000,"[10.000000]",311.496000,"[311.496000]",2200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",158.000000,"[158]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2300,0,690394,0.000000,"[0.000000]",1,5997,23.593000,28.593000,"[28.593000]",10.000000,"[10.000000]",23.593000,"[23.593000]",2300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",14.000000,"[14]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2400,0,720375,0.000000,"[0.000000]",1,5014,299.444000,304.444000,"[304.444000]",10.000000,"[10.000000]",299.444000,"[299.444000]",2400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",152.000000,"[152]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2500,0,750363,0.000000,"[0.000000]",1,4896,353.454000,358.454000,"[358.454000]",10.000000,"[10.000000]",353.454000,"[353.454000]",2500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",179.000000,"[179]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2600,0,780383,0.000000,"[0.000000]",1,3450,285.483000,290.483000,"[290.483000]",10.000000,"[10.000000]",285.483000,"[285.483000]",2600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",145.000000,"[145]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2700,0,810377,0.000000,"[0.000000]",1,3541,289.491000,294.491000,"[294.491000]",10.000000,"[10.000000]",289.491000,"[289.491000]",2700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",147.000000,"[147]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2800,0,840351,0.000000,"[0.000000]",1,3272,323.503000,328.503000,"[328.503000]",10.000000,"[10.000000]",323.503000,"[323.503000]",2800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",164.000000,"[164]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
2900,0,870395,0.000000,"[0.000000]",1,6087,317.503000,322.503000,"[322.503000]",10.000000,"[10.000000]",317.503000,"[317.503000]",2900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",161.000000,"[161]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
